product_id,category,total_orders,total_revenue
99a4788cb24856965c36a24e339b6058,bed_bath_table,456,42049.66
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,425,37104.3
422879e10f46682990de24d770e7f83d,garden_tools,352,26577.22
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,313,45620.56
389d119b48cf3043d311335e499d9c6b,garden_tools,309,21336.79
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,304,37454.63
368c6c730842d78016ad823897a372db,garden_tools,291,21056.8
53759a2ecddad2bb87a079a1f1519f73,garden_tools,287,20387.2
154e7e31ebfa092203795c972e5804a6,health_beauty,262,6173.26
2b4609f8948be18874494203496bc318,health_beauty,254,22277.27
